color,bestColor,contrast,compliance
#000000,#00ff00,15.3,AAA
#000040,#00ff00,14.25,AAA
#000080,#00ff00,11.67,AAA
#0000c0,#00ff00,8.69,AAA
#004000,#00ff00,8.83,AAA
#004040,#00ff00,8.47,AAA
#004080,#00ff00,7.48,AAA
#0040c0,#00ff00,6.14,AA
#008000,#00ff00,3.74,None
#008040,#00ff00,3.68,None
#008080,#00ff00,3.48,None
#0080c0,#00ff00,3.16,None
#00c000,#0000ff,3.49,None
#00c040,#0000ff,3.52,None
#00c080,#0000ff,3.62,None
#00c0c0,#0000ff,3.81,None
#400000,#00ff00,12.56,AAA
#400040,#00ff00,11.84,AAA
#400080,#00ff00,10.0,AAA
#4000c0,#00ff00,7.73,AAA
#404000,#00ff00,7.84,AAA
#404040,#00ff00,7.56,AAA
#404080,#00ff00,6.76,AA
#4040c0,#00ff00,5.64,AA
#408000,#00ff00,3.55,None
#408040,#00ff00,3.49,None
#408080,#00ff00,3.31,None
#4080c0,#00ff00,3.02,None
#40c000,#0000ff,3.58,None
#40c040,#0000ff,3.61,None
#40c080,#0000ff,3.71,None
#40c0c0,#0000ff,3.89,None
#800000,#00ff00,7.98,AAA
#800040,#00ff00,7.68,AAA
#800080,#00ff00,6.86,AA
#8000c0,#00ff00,5.71,AA
#804000,#00ff00,5.77,AA
#804040,#00ff00,5.62,AA
#804080,#00ff00,5.17,AA
#8040c0,#00ff00,4.48,None
#808000,#00ff00,3.06,None
#808040,#00ff00,3.01,None
#808080,#00ff00,2.88,None
#8080c0,#00ff00,2.65,None
#80c000,#0000ff,3.87,None
#80c040,#0000ff,3.9,None
#80c080,#0000ff,4.0,None
#80c0c0,#0000ff,4.18,None
#c00000,#00ff00,4.72,AA
#c00040,#00ff00,4.62,AA
#c00080,#00ff00,4.31,None
#c000c0,#00ff00,3.82,None
#c04000,#00ff00,3.85,None
#c04040,#00ff00,3.78,None
#c04080,#00ff00,3.57,None
#c040c0,#00ff00,3.23,None
#c08000,#0000ff,2.59,None
#c08040,#0000ff,2.62,None
#c08080,#0000ff,2.72,None
#c080c0,#0000ff,2.9,None
#c0c000,#0000ff,4.41,None
#c0c040,#0000ff,4.44,None
#c0c080,#0000ff,4.54,AA
#c0c0c0,#0000ff,4.72,AA
